,ID,Gender,Certificate,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
99,4346,Female,IGCSE (British),3,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3
100,4347,Female,IGCSE (British),4,4,4,5,5,4,4,5,5,4,3,3,3,2,4,4,5,5,5
101,4339,Female,IGCSE (British),3,5,3,5,4,3,4,2,2,1,3,2,3,3,4,4,5,4,5
102,4353,Male,IGCSE (British),3,5,3,4,5,5,5,3,4,5,5,3,5,4,3,2,4,3,3
103,4367,Female,IGCSE (British),5,5,5,5,5,5,3,1,1,1,1,1,1,3,5,5,5,5,5
104,4365,Female,IGCSE (British),3,5,3,5,3,1,1,1,2,1,3,1,4,1,4,2,5,5,5
105,4357,Male,IGCSE (British),4,5,5,4,5,5,5,3,5,5,5,5,5,5,3,2,5,5,5
106,4373,Female,IGCSE (British),5,5,5,5,5,4,4,3,3,3,4,3,3,2,3,2,3,4,3
107,4359,Male,IGCSE (British),4,3,3,5,5,2,2,3,2,2,3,2,3,1,4,3,5,5,4
108,4352,Male,IGCSE (British),5,4,4,5,5,3,2,2,3,1,5,5,4,4,3,3,5,4,4
109,4362,Male,IGCSE (British),3,4,4,5,4,2,2,2,1,1,3,2,4,4,4,4,3,3,3
110,4363,Female,IGCSE (British),5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5
111,4366,Female,IGCSE (British),5,5,5,3,5,1,3,1,1,3,3,1,3,1,3,3,5,5,5
112,4356,Male,IGCSE (British),5,4,5,5,5,3,3,3,4,4,5,3,5,5,4,3,4,3,4
113,4364,Female,IGCSE (British),3,4,3,5,4,2,1,1,1,2,3,2,4,3,5,4,4,4,4
114,4355,Male,IGCSE (British),4,3,4,5,4,2,2,2,2,2,5,1,4,4,3,3,3,3,2
115,4325,Male,IGCSE (British),4,4,3,3,5,1,1,1,1,2,4,3,2,3,5,5,5,5,5
116,4342,Female,IGCSE (British),5,5,3,5,5,1,1,1,1,1,4,3,2,2,3,4,3,5,4
117,4391,Male,IGCSE (British),4,4,3,3,3,1,1,2,2,2,5,3,4,5,4,3,3,3,3
118,4393,Female,IGCSE (British),4,4,4,5,5,3,3,2,1,4,4,3,5,4,3,3,3,4,4
119,4390,Male,IGCSE (British),4,5,5,3,5,2,2,1,1,1,5,3,1,3,4,5,5,4,5
120,4385,Male,IGCSE (British),4,3,4,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3
121,4384,Female,IGCSE (British),5,5,5,5,5,3,2,2,1,1,3,2,3,1,5,5,5,5,5
122,4392,Female,IGCSE (British),4,5,5,5,5,5,4,4,3,3,4,1,5,4,4,4,5,5,4
123,4380,Female,IGCSE (British),4,5,4,5,5,4,4,3,3,3,4,1,5,5,5,5,5,5,5
124,4386,Male,IGCSE (British),5,5,5,5,5,3,2,1,1,1,2,2,1,1,4,3,5,5,5
125,4394,Female,IGCSE (British),5,5,5,5,5,3,4,3,2,2,4,3,5,3,5,5,5,5,5
126,4383,Male,IGCSE (British),5,5,5,5,5,1,5,1,3,3,1,1,1,3,3,2,5,5,5
127,4382,Female,IGCSE (British),5,4,3,5,4,5,5,4,2,4,4,5,2,5,2,3,5,5,3
128,4379,Female,IGCSE (British),4,3,4,5,4,2,2,3,3,3,3,3,3,4,4,5,5,5,5
129,4376,Male,IGCSE (British),5,5,5,5,5,3,3,3,3,3,5,3,5,5,5,5,5,5,5
130,4404,Female,IGCSE (British),4,3,2,5,5,4,2,2,2,4,5,3,5,2,3,4,5,5,5
131,4410,Female,IGCSE (British),4,3,4,5,5,2,2,2,2,3,3,2,4,2,4,4,3,4,4
132,4411,Female,IGCSE (British),3,3,3,5,4,1,1,1,1,1,1,1,3,1,3,1,3,3,3
133,4406,Male,IGCSE (British),4,5,5,4,5,4,5,4,4,3,4,2,,4,4,4,3,5,5
134,4400,Female,IGCSE (British),4,4,4,5,3,3,1,1,1,1,2,5,4,4,3,3,4,4,5
135,4396,Female,IGCSE (British),4,5,5,5,5,2,2,1,1,1,2,3,3,2,4,4,5,4,5
136,4407,Male,IGCSE (British),5,5,4,5,5,2,2,1,2,1,3,3,5,5,5,4,4,5,5
137,4399,Male,IGCSE (British),3,4,4,5,5,4,4,2,2,3,2,2,4,4,4,3,5,5,4
138,4413,Female,IGCSE (British),2,3,4,4,5,1,1,1,1,2,3,1,5,2,4,4,5,4,4
139,4401,Male,IGCSE (British),4,5,4,5,5,2,3,2,1,4,5,4,5,1,4,4,5,5,5
140,4397,Female,IGCSE (British),5,5,5,5,4,2,1,1,1,1,2,2,5,2,4,3,5,5,4
141,4416,Female,IGCSE (British),5,5,5,5,5,2,1,1,1,1,2,1,3,2,4,4,5,4,4
142,4429,Female,IGCSE (British),4,5,4,5,5,3,3,2,1,2,3,2,1,1,4,4,5,4,4
143,4442,Female,IGCSE (British),5,5,5,5,5,3,3,3,1,1,5,1,5,1,5,3,5,5,5
144,4428,Male,IGCSE (British),3,4,4,5,4,4,4,4,4,4,5,4,5,4,4,3,3,3,3
145,4424,Male,IGCSE (British),5,4,5,5,5,3,4,3,2,3,4,1,3,2,3,5,5,5,5
146,4433,Male,IGCSE (British),5,5,5,5,5,1,1,1,1,1,5,3,4,1,4,5,5,4,5
147,4283F,Female,IGCSE (British),5,5,5,5,5,3,3,2,1,1,3,1,1,1,3,3,2,2,2
148,4423,Male,IGCSE (British),5,5,5,5,5,3,2,1,2,2,5,2,3,2,3,3,5,5,5
